"IATA code","ICAO code","Marketing name","Official full name",Alliance,"Airline type","Airline type code","Is lowcost","Airline home country","Airline home country Alpha-2 code","Airline home country Alpha-3 code","Airline home city IATA code","Year of foundation","Official website","Baggage policy URL","Web check in URL","Mobile check in URL","Official iOS app URL","Official Android app URL","Official Facebook URL","Airline Website Alexa Rank"
MU,OTT,"OTT Airlines","One two three Airlines Co., Ltd",,SCHEDULED,1,0,China,CN,CHN,SHA,2020,,,,,,,,
,HYM,HiSky,HiSky,,SCHEDULED,1,0,Moldova,MD,MDA,KIV,2020,https://hisky.aero/en,https://hisky.aero/en/Questions-and-answers,https://hisky.aero/en,,,,https://www.facebook.com/hisky.aero,
,UZA,"Constanta Airlines","""Aircompany Constanta"" PrJSC",,SCHEDULED,1,0,Ukraine,UA,UKR,OZH,1998,https://constantaairline.com/en,,,,,,,
BM,BFO,"Bakhtar Afghan Airline","Bakhtar Afghan Airline dba Bakhtar Afghan Airline",,SCHEDULED,1,0,Afghanistan,AF,AFG,KBL,2020,https://bakhtarairline.com,,,,,,https://www.facebook.com/BakhtarAfghanAirlines,
,CNM,"Air China Inner Mongolia","Air China Inner Mongolia Co., Ltd",,SCHEDULED,1,0,China,CN,CHN,HET,2013,http://www.airchinaim.com,,http://www.airchina.com.cn,,,,,
,KZH,ZhezAir,"JSC ""Airline ""Zhezkazgan-air"" ",,SCHEDULED,1,0,Kazakhstan,KZ,,DZN,1996,http://en.zhezair.com,,,,,,,
NG,NAI,NovAir,"""NOVAIR"" Limited Liability Company",,SCHEDULED,1,0,Armenia,AM,ARM,EVN,2020,http://novair.am,,,,,,https://www.facebook.com/NovAircompany,
,LSJ,"Air Liaison","Air Liaison",,SCHEDULED,1,0,Canada,CA,CAN,YQB,2001,https://www.airliaison.ca,,,,,,https://www.facebook.com/AirLiaisonQC,
,CBF,"Cascadia Air","Cascadia Northern Air Inc.",,SCHEDULED,1,0,Canada,CA,CAN,YVR,2019,https://www.cascadiaair.com,https://www.cascadiaair.services/skyrider-servicepolicies,https://www.cascadiaair.services/mngr-csa-passenger-check-in,,,,https://www.facebook.com/cascadiaair,
A2,AWG,Animawings,"Anima Wings Aviation S.A.",,SCHEDULED,1,0,Romania,RO,ROU,BUH,2019,https://animawings.com,https://animawings.com/ro/bagaj,https://animawings.com,,,,https://www.facebook.com/Animawings-122935729104558,
JL,JLJ,J-Air,"J-Air Co., Ltd",,SCHEDULED,1,0,Japan,JP,JPN,OSA,1996,http://www.jair.co.jp,,,,,,,
,QZR,"Royal Zambian Airlines","Royal Zambian Airlines",,SCHEDULED,1,0,Zambia,ZM,ZMB,LUN,2020,https://www.royalzambianairlines.com,https://www.royalzambianairlines.com/assets/docs/terms.pdf,https://apps6.tflite.com/Public/RAC/Account/Login,,,,https://www.facebook.com/royalzambianairlines,
EG,,"Aer Lingus (U.K.)","Aer Lingus (U.K.) Limited",,SCHEDULED,1,0,"United Kingdom",GB,GBR,MAN,2020,https://www.aerlingus.com,https://www.aerlingus.com/travel-information/baggage-information,https://www.aerlingus.com,,https://apps.apple.com/ie/app/aer-lingus-new/id965854546,"https://play.google.com/store/apps/details?id=com.aerlingus.mobile ",https://www.facebook.com/aerlingus,
7B,UBE,"Bees Airline","Limited Liability Company Bees Airline",,SCHEDULED,1,1,Ukraine,UA,UKR,IEV,2019,https://bees.aero,https://bees.aero/en/rules,,,,,,
NB,BNL,"Berniq Airways","Berniq Airways",,SCHEDULED,1,0,Libya,LY,LBY,BEN,2019,https://berniq.com/en,https://berniq.com/en,,,,,https://www.facebook.com/Berniq.Airways,
H4,HYS,"HiSky Europe","HiSky Europe SRL",,SCHEDULED,1,1,Romania,RO,ROU,IAS,2019,https://hisky.aero/en,https://hisky.aero/en/Terms-and-conditions,https://hisky.aero/en,,,,https://www.facebook.com/hisky.aero,
H6,,"Rambler Air","Hageland Aviation Services, Inc.",,SCHEDULED,1,0,"United States",US,USA,ANC,2020,https://ramblerair.com,,,,,,,
DO,SHH,"Sky High","Sky High Aviation Services",,SCHEDULED,1,0,"Dominican Republic",DO,DOM,SDQ,2012,https://en.skyhighdominicana.com,https://en.skyhighdominicana.com/informacion-equipaje,,,,,https://www.facebook.com/skyhighaviationservices,
,IPM,"ITA Transportes Aéreos","Itapemirim Transportes Aéreos",,SCHEDULED,1,0,Bulgaria,BR,BRG,SAO,2020,https://voeita.com.br,https://www.voeita.com.br/regras-tarifarias,http://itapemirim.ttinteractive.com.br/empresa/checkinweb/search.asp,,,,https://www.facebook.com/itapemirimtransportesaereos.oficial,
,RNG,"Renegade Air","Renegade Air Limited",,SCHEDULED,1,0,Kenya,KE,KEN,WIL,2012,https://flyrenegadeair.com,https://flyrenegadeair.com/baggage-terms,,,,,https://www.facebook.com/flyrenair,
,WWP,"Wingo (Panama)","La Nueva Aerolinea, S.A. t/a wingo",,SCHEDULED,1,0,Panama,PA,PAN,ECP,,https://www.wingo.com,https://www.wingo.com/en/help-center/baggage,https://www.wingo.com,,https://apps.apple.com/us/app/wingo/id1188333425?ls=1,https://play.google.com/store/apps/details?id=com.wingo.app&hl=en,https://www.facebook.com/VuelaWingo,
5L,TIC,"TAC Airlines","Transportes Aereos Costarricenses",,SCHEDULED,1,0,"Costa Rica",CR,CRI,SYQ,2018,https://www.facebook.com/tacairlinescr,,,,,,https://www.facebook.com/tacairlinescr,
D6,,"Aerolineas GECA","Servicios Aereos GECA S.A dba GECA",,SCHEDULED,1,0,"Dominican Republic",DO,DOM,SDQ,2010,https://www.facebook.com/Aerolineas-GECA-429770917142781,,,,,,https://www.facebook.com/Aerolineas-GECA-429770917142781,
AA,AAL,"American Airlines","American Airlines Inc.",oneworld,SCHEDULED,1,0,"United States",US,USA,DFW,1926,https://www.aa.com,https://www.aa.com/i18n/travel-info/baggage/baggage.jsp?anchorEvent=false&ampfrom=Nav,https://www.aa.com/reservation/flightCheckInViewReservationsAccess.do,https://www.aa.com/reservation/flightCheckInViewReservationsAccess.do,https://itunes.apple.com/us/app/american-airlines/id382698565?mt=8,https://play.google.com/store/apps/details?id=com.aa.android&amphl=en,https://www.facebook.com/aa,1123
DL,DAL,Delta,"Delta Air Lines Inc.",SkyTeam,SCHEDULED,1,0,"United States",US,USA,ATL,1924,https://www.delta.com,https://www.delta.com/content/www/en_US/traveling-with-us/baggage.html,https://www.delta.com/PCCOciWeb/findBy.action,https://m.delta.com/?p=pnrSearchForm,https://itunes.apple.com/us/app/fly-delta/id388491656?mt=8,https://play.google.com/store/apps/details?id=com.delta.mobile.android&amphl=en,https://www.facebook.com/delta,1198
WN,SWA,"Southwest Airlines","Southwest Airlines Co.",,SCHEDULED,1,1,"United States",US,USA,MCO,1967,https://www.southwest.com,https://www.southwest.com/html/customer-service/baggage/index.html,http://www.southwest.com/air/check-in/index.html,https://mobile.southwest.com/check-in,https://apps.apple.com/us/app/southwest-airlines/id344542975,https://play.google.com/store/apps/details?id=com.southwestairlines.mobile&ampamphl=en,https://www.facebook.com/Southwest?clk=GFOOTER-FACEBOOK,1339
