"IATA code","ICAO code","Airport name","Related city IATA code","Related country Alpha-2 code","Time zone",Latitude,Longitude,Classification,Popularity
AMS,EHAM,"Amsterdam Airport Schiphol",AMS,NL,Europe/Amsterdam,52.309069,4.763385,1,100
ANC,PANC,"Ted Stevens Anchorage International Airport",ANC,US,America/Anchorage,61.174444,-149.996389,1,100
ARN,ESSA,"Stockholm Arlanda Airport",STO,SE,Europe/Stockholm,59.649818,17.930364,1,100
ATL,KATL,"Hartsfield-Jackson Atlanta International Airport",ATL,US,America/New_York,33.640067,-84.44403,1,100
BCN,LEBL,"Josep Tarradellas Barcelona-El Prat Airport",BCN,ES,Europe/Madrid,41.303027,2.07593,1,100
BKK,VTBS,"Suvarnabhumi Airport",BKK,TH,Asia/Bangkok,13.693062,100.752044,1,100
BNE,YBBN,"Brisbane Airport",BNE,AU,Australia/Brisbane,-27.403031,153.109058,1,100
BOG,SKBO,"El Dorado International Airport",BOG,CO,America/Bogota,4.698602,-74.143136,1,100
BOM,VABB,"Chhatrapati Shivaji Maharaj International Airport",BOM,IN,Asia/Kolkata,19.089891,72.868047,1,100
BOS,KBOS,"Logan International Airport",BOS,US,America/New_York,42.36646,-71.020176,1,100
BRU,EBBR,"Brussels Airport",BRU,BE,Europe/Brussels,50.89717,4.483602,1,100
BWI,KBWI,"Baltimore/Washington International Thurgood Marshall Airport",WAS,US,America/New_York,39.179526,-76.668941,1,100
CAN,ZGGG,"Guangzhou Baiyun International Airport",CAN,CN,Asia/Shanghai,23.387862,113.29734,1,100
CDG,LFPG,"Paris-Charles De Gaulle Airport",PAR,FR,Europe/Paris,49.003196,2.567023,1,100
CGH,SBSP,"Sao Paulo Congonhas Airport",SAO,BR,America/Sao_Paulo,-23.626902,-46.659556,1,100
CGK,WIII,"Soekarno-Hatta International Airport",JKT,ID,Asia/Jakarta,-6.130643,106.655526,1,100
CKG,ZUCK,"Chongqing Jiangbei International Airport",CKG,CN,Asia/Shanghai,29.720341,106.63408,1,100
CLE,KCLE,"Cleveland Hopkins International Airport",CLE,US,America/New_York,41.410856,-81.83821,1,100
CLT,KCLT,"Charlotte Douglas International Airport",CLT,US,America/New_York,35.219167,-80.935833,1,100
CPH,EKCH,"Copenhagen Airport",CPH,DK,Europe/Copenhagen,55.629053,12.647601,1,100
